ID_PROYECTO,RUT_PROYECTO,NOM_PROYECTO,NOM_LEGAL,NOM_LEGAL_PROMESA,NOMBRE_BANCO,CALLE,CIUDAD,COMUNA,PAIS,HORARIO_ATENCION,FECHA_ESCRITURA,FECHA_INICIO,FECHA_TERMINO,PORCENTAJE_AVANCE,PORCENTAJE_MULTA,PRECIO_VENTA_OBJETIVO_PONDERADO,PRECIO_VENTA_OBJETIVO_UTIL,SUBSIDIO,TASA,TASA_HIP,FECHA_REGISTRO_PROYECTO,DIVIDENDO_ANIOS1,DIVIDENDO_ANIOS2,DIVIDENDO_ANIOS3
29,77363661-3,LIVE,FAI LAS DALIAS SPA,sin_dato,sin_dato,RODRIGO DE ARAYA 2036,Ñuñoa,Santiago,Chile,sin_dato,2024-01-31,2022-03-05,2024-10-30,0.0,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2022-03-03,25,20,30
30,76896595-1,Campaña OPEN ALEMANIA,campaña INMOBILIARIA ALTO ALEMANIA DOS SPA,campaña INMOBILIARIA ALTO ALEMANIA DOS SPA,BANCO BCI,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2023-01-31,2018-01-31,2022-12-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-17,25,20,30
31,77363661-3,Campaña Live,Campaña Live,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-04-30,2022-03-05,2024-10-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-24,25,20,30
32,76882505-K,Campaña Fan,Campaña Fan,Campaña Fan,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-05-31,2022-03-05,2024-05-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-24,25,20,30
33,77081172-4,Campaña O2,Campaña O2,Campaña O2,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-05-31,2022-03-05,2024-05-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-24,25,20,30
34,77122372-9,Campaña Vista Park,Campaña Vista Park,Campaña Vista Park,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-05-31,2022-03-05,2024-05-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-24,25,20,30
35,76993875-3,Campaña Equilibrio,Campaña Equilibrio,Campaña Equilibrio,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-05-31,2022-03-05,2024-05-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-24,25,20,30
36,76991583-4,Campaña More,Campaña More,Campaña More,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-10-31,2020-01-01,2022-08-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-30,25,20,30
37,77081167-8,Campaña Move,Campaña Move,Campaña Move,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-01-31,2021-05-30,2023-05-23,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-30,25,20,30
38,76991587-7,Campaña Armonía,Campaña Armonía,Campaña Armonía,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2023-02-28,2020-01-01,2023-01-01,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-03-30,25,20,30
39,36130823-9,Prueba Soporte,Prueba Soporte,prueba,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-04-27,25,20,30
40,77142122-9,Condominio Atalaya,Inmb. y constructora FAI Plaza oriente II SpA,sin_dato,BANCO SANTANDER-CHILE,Avenida Las Rastras 3390,Talca,Talca,Chile,lunes a viernes 10:30 a 18:30 horas,2025-04-30,2022-04-20,2025-07-30,0.0,0.1,sin_dato,sin_dato,sin_dato,0.045,0.045,2022-04-28,25,20,30
41,77257623-4,MEET,FAI MIRIARTE SPA,FAI MIRIARTE SPA,SCOTIABANK,sin_dato,sin_dato,sin_dato,Chile,sin_dato,2025-12-29,2022-10-18,2025-12-29,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2022-10-18,25,20,30
42,65216645-8,Condominio Parque Las Palmas II,Condominio Parque Las Palmas II,Condominio Parque Las Palmas II,sin_dato,Adriana García Ibáñez 2078,San Javier,San Javier,Chile,sin_dato,2022-11-09,2020-11-09,2022-11-09,0.3,sin_dato,sin_dato,sin_dato,0.03,0.03,0.03,2022-11-11,25,20,30
43,65216663-6,Condominio Don Pablo,Condominio Don Pablo,Condominio Don Pablo,sin_dato,Igualdad 1051,Parral,Parral,Chile,sin_dato,2022-11-21,sin_dato,2022-11-21,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2022-11-23,25,20,30
44,65221571-8,Condominio Nuevo Centro II,Condominio Nuevo Centro II,Condominio Nuevo Centro II,sin_dato,Krugg 678,Linares,Linares,Chile,lunes a viernes 10:30 a 18:30 horas,sin_dato,sin_dato,2022-01-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2023-02-28,25,20,30
45,76991587-7,Campaña Landing,Campaña Landing 10,Campaña Landing 10,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2024-04-30,2023-04-03,2024-11-01,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2023-04-03,25,20,30
46,76991587-7,Campaña Referidos,Campaña Referidos,Campaña Referidos,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2023-08-25,sin_dato,2023-08-24,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2023-05-26,25,20,30
